                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9719,                 1.9823,                 1.7896,                0.71376,                0.37793,                 0.3812,                0.15538,                 1.7824,                 1.7391,                  1.639,               0.067295,             0.00033036,             0.00033036
                      2,                 1.8178,                 1.5099,                 1.6692,                0.73375,                0.29344,                0.38211,                 0.1606,                 1.8104,                 1.6939,                 1.6937,               0.034288,             0.00065712,             0.00065712
                      3,                 1.8196,                 1.4689,                 1.6558,                0.37139,                0.40088,                0.38719,                0.18701,                 1.7047,                 1.3977,                 1.6297,              0.0012749,             0.00097728,             0.00097728
                      4,                 1.7925,                 1.4007,                 1.6363,                0.55769,                0.48171,                0.49371,                0.24141,                 1.5918,                 1.2759,                 1.5424,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.762,                 1.3739,                  1.622,                0.61825,                0.45618,                0.49516,                0.23191,                 1.7119,                 1.2673,                 1.5693,              0.0009604,              0.0009604,              0.0009604
                      6,                  1.705,                 1.2976,                 1.5776,                0.49164,                0.49218,                0.51687,                0.24608,                 1.5775,                 1.1509,                 1.5001,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.7119,                 1.2738,                   1.56,                0.49202,                0.49454,                0.51297,                0.26652,                 1.5769,                 1.0711,                 1.4856,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6701,                 1.2329,                 1.5533,                0.48712,                0.47371,                0.50297,                0.24853,                 1.5632,                 1.1381,                 1.5059,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6766,                 1.2333,                   1.55,                0.52959,                0.49784,                0.50299,                 0.2414,                 1.6554,                 1.1554,                  1.536,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6501,                 1.2096,                 1.5253,                0.62991,                0.50753,                0.53965,                0.27418,                 1.5605,                 1.0796,                 1.4843,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6245,                 1.1617,                  1.516,                0.60508,                 0.5681,                0.55086,                0.26747,                 1.6331,                 1.0746,                 1.5238,               0.000901,               0.000901,               0.000901
                     12,                 1.6102,                 1.1291,                 1.5142,                0.56926,                0.60728,                0.58297,                0.29343,                  1.541,                0.96874,                 1.4769,              0.0008911,              0.0008911,              0.0008911
                     13,                  1.612,                 1.0974,                 1.4879,                0.59653,                0.51211,                0.58464,                0.28524,                 1.6574,                0.99969,                  1.551,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.6111,                 1.1163,                 1.5079,                0.51741,                0.60428,                0.56718,                0.30131,                  1.533,                0.97646,                 1.4574,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5645,                 1.0783,                 1.4676,                0.57326,                0.51346,                 0.5496,                0.27542,                 1.5285,                 1.0306,                 1.4517,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.5597,                 1.0586,                 1.4875,                 0.5316,                0.60314,                0.58011,                0.30312,                 1.4993,                 1.0094,                 1.4515,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.5523,                   1.04,                  1.474,                0.67231,                0.60368,                0.61008,                0.28766,                 1.6451,                 1.0381,                 1.5519,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.5487,                 1.0304,                 1.4617,                0.60988,                0.61021,                0.59816,                0.28544,                 1.6329,                 1.0538,                 1.5224,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.4918,                0.99307,                 1.4461,                0.62037,                0.58904,                0.62506,                0.32661,                 1.4971,                0.93671,                 1.4447,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5111,                 1.0034,                 1.4196,                0.63408,                0.49829,                0.57558,                0.29462,                 1.5859,                0.96189,                 1.4831,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.5068,                0.98994,                  1.428,                0.59568,                0.61409,                0.59732,                0.31395,                 1.5399,                0.94186,                 1.4788,               0.000802,               0.000802,               0.000802
                     22,                 1.4966,                 0.9531,                 1.4327,                0.65045,                0.60203,                0.58379,                0.30423,                 1.4991,                0.97517,                 1.4497,              0.0007921,              0.0007921,              0.0007921
                     23,                  1.499,                0.96268,                 1.4212,                0.66334,                0.52947,                0.60341,                0.29905,                 1.5771,                  1.015,                 1.5129,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.4773,                0.93835,                 1.4136,                0.64096,                0.56669,                0.60275,                0.29858,                 1.6252,                0.97574,                 1.5375,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.4708,                0.94877,                 1.4074,                0.58551,                 0.6212,                0.59227,                0.30697,                 1.5255,                0.94341,                 1.4604,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.4603,                0.92029,                 1.4008,                0.60263,                0.58083,                0.60241,                0.31625,                 1.5321,                0.95746,                 1.4711,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4551,                0.89896,                 1.4026,                 0.7528,                0.60072,                0.65132,                0.33373,                 1.5692,                0.87837,                 1.4972,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.4242,                 0.8534,                 1.3722,                0.65162,                0.61313,                0.63752,                0.33439,                 1.5494,                0.87318,                 1.4667,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.4338,                0.87475,                 1.3832,                0.74493,                0.57914,                0.65819,                 0.3485,                 1.5391,                0.85292,                  1.458,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.4172,                0.87248,                 1.3828,                0.60433,                0.63742,                0.61166,                0.32451,                  1.552,                 0.8993,                 1.4749,              0.0007129,              0.0007129,              0.0007129
                     31,                  1.424,                0.84439,                 1.3708,                0.59314,                0.66458,                0.62635,                0.33242,                 1.5825,                0.88267,                 1.5042,               0.000703,               0.000703,               0.000703
                     32,                 1.3965,                0.83637,                 1.3701,                0.66394,                0.62216,                0.60419,                0.30394,                 1.6102,                0.88448,                  1.537,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.3818,                0.80981,                 1.3614,                0.64853,                0.62992,                0.63091,                0.31442,                 1.5872,                0.86208,                 1.5297,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.3777,                0.80206,                 1.3491,                0.50168,                0.64517,                0.58469,                0.30868,                 1.5856,                0.90872,                 1.5239,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.3655,                0.80994,                 1.3361,                0.66663,                0.69526,                0.63669,                0.33059,                  1.552,                0.84339,                  1.488,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3522,                0.80009,                 1.3358,                0.63414,                0.63182,                0.61386,                0.30933,                 1.5556,                0.86214,                 1.4786,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3555,                 0.7949,                  1.345,                0.58676,                0.57583,                0.58381,                0.30352,                 1.5422,                0.87477,                 1.4869,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3251,                0.75763,                 1.3164,                0.70379,                0.65919,                0.65378,                0.32507,                 1.6193,                0.89357,                 1.5317,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3087,                0.75029,                 1.3165,                0.74836,                0.62645,                0.63262,                0.32761,                 1.6025,                0.84853,                 1.5132,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3005,                0.74607,                 1.3037,                0.74733,                 0.6499,                 0.6767,                0.36074,                 1.6446,                0.86439,                 1.5584,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3053,                0.74011,                 1.2934,                0.56827,                0.67475,                0.62236,                0.32517,                 1.6075,                0.84395,                 1.5473,               0.000604,               0.000604,               0.000604
                     42,                 1.2848,                0.72236,                 1.2917,                0.61874,                0.62512,                0.60815,                0.31089,                  1.669,                0.87818,                 1.5837,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.2685,                0.71395,                 1.2799,                0.63706,                0.64931,                0.63892,                0.32069,                 1.6381,                0.88707,                 1.5578,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.2496,                0.69043,                 1.2702,                0.66207,                0.68054,                0.66575,                0.33511,                 1.6404,                0.84293,                 1.5616,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.2616,                 0.6918,                 1.2683,                0.70122,                0.67247,                0.65022,                0.34308,                 1.5912,                0.82346,                  1.536,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.2635,                0.70322,                 1.2754,                0.72472,                 0.6681,                0.69505,                0.35695,                 1.5799,                0.78959,                 1.5187,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.2426,                0.68672,                 1.2605,                0.60035,                 0.7648,                0.64458,                0.31589,                 1.6639,                0.82047,                 1.5969,              0.0005446,              0.0005446,              0.0005446
