                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9945,                 2.0305,                 1.7662,                0.37099,                0.37698,                0.37601,                0.17249,                 1.7361,                 1.7856,                 1.4482,               0.067295,             0.00033036,             0.00033036
                      2,                 1.7855,                 1.5009,                 1.5717,                0.73988,                0.43499,                0.45062,                 0.2045,                 1.6929,                 1.2514,                 1.4446,               0.034288,             0.00065712,             0.00065712
                      3,                 1.7799,                 1.4065,                 1.5398,                0.80045,                0.40694,                0.45338,                0.21065,                 1.7108,                  1.253,                 1.4491,              0.0012749,             0.00097728,             0.00097728
                      4,                 1.7738,                 1.3558,                 1.5312,                0.51173,                0.53443,                0.46763,                0.22107,                 1.6079,                 1.4333,                 1.4013,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7483,                 1.3512,                 1.5244,                 0.6934,                0.42281,                 0.5005,                0.22476,                 1.7693,                 1.1965,                   1.49,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.7087,                 1.2888,                 1.4903,                0.50637,                0.54073,                0.51799,                0.24478,                 1.5947,                 1.1523,                 1.3575,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6978,                 1.2528,                 1.4631,                0.61506,                0.48893,                 0.5394,                0.28955,                 1.5979,                 1.0866,                 1.3732,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6507,                 1.2175,                 1.4513,                0.44548,                0.51248,                0.49873,                 0.2548,                 1.5222,                 1.0914,                 1.3453,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6538,                 1.1994,                 1.4389,                0.61221,                0.49698,                0.55256,                0.26975,                 1.6131,                 1.0606,                 1.3505,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6406,                 1.1843,                 1.4253,                0.52921,                0.54237,                0.52573,                0.27359,                 1.5235,                 1.0507,                 1.3348,              0.0009109,              0.0009109,              0.0009109
                     11,                   1.62,                 1.1498,                 1.4191,                 0.5187,                0.54622,                 0.5409,                0.25666,                 1.6263,                 1.0685,                 1.3698,               0.000901,               0.000901,               0.000901
                     12,                 1.5956,                 1.1205,                 1.4064,                0.64631,                0.54921,                 0.5777,                0.28967,                 1.5242,                0.96538,                 1.3172,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5858,                   1.11,                 1.3874,                0.55171,                0.55927,                0.55332,                0.28251,                 1.5506,                0.99897,                 1.3312,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5885,                  1.116,                 1.3915,                0.56901,                0.60079,                0.58554,                0.29312,                 1.4864,                0.98395,                 1.2875,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5579,                 1.0771,                 1.3619,                0.53082,                0.50075,                0.58097,                0.29074,                 1.4853,                0.98388,                 1.2867,              0.0008614,              0.0008614,              0.0008614
                     16,                  1.551,                 1.0564,                 1.3786,                  0.573,                0.53229,                0.55516,                0.28581,                 1.5363,                 1.0313,                 1.3366,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.5541,                 1.0458,                 1.3722,                0.59169,                0.49488,                0.54788,                 0.2747,                 1.6138,                 1.0162,                   1.36,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.5527,                 1.0371,                 1.3666,                0.60462,                0.54823,                 0.5655,                0.29291,                 1.5762,                 1.0241,                 1.3366,              0.0008317,              0.0008317,              0.0008317
                     19,                  1.494,                 1.0025,                 1.3446,                0.54872,                0.53343,                0.57202,                0.28304,                  1.541,                0.95767,                 1.3134,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5178,                 1.0156,                 1.3375,                0.52057,                0.60054,                0.59225,                0.30737,                 1.5745,                0.95984,                 1.3358,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.5102,                 0.9816,                 1.3286,                0.59673,                0.52102,                0.57074,                0.29055,                 1.5404,                0.96196,                 1.3107,               0.000802,               0.000802,               0.000802
                     22,                 1.5008,                0.97231,                 1.3249,                0.65252,                0.54828,                0.56441,                0.29055,                 1.4967,                0.97938,                 1.2954,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.5003,                0.98375,                 1.3209,                0.65453,                0.61865,                0.63052,                0.31217,                 1.6538,                0.96501,                 1.3965,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.4755,                0.96642,                 1.3128,                0.60176,                0.55435,                 0.5906,                0.29834,                 1.5379,                0.95892,                 1.3295,              0.0007723,              0.0007723,              0.0007723
                     25,                  1.476,                0.94783,                 1.3057,                0.58885,                0.58412,                0.59334,                0.29733,                 1.5808,                0.90971,                 1.3297,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.4832,                0.92602,                 1.3098,                0.55933,                0.51778,                0.57462,                0.31015,                 1.4992,                0.97789,                 1.2961,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4621,                 0.9305,                 1.3084,                0.65633,                0.56366,                0.61629,                0.31002,                  1.527,                0.86164,                 1.2983,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.4528,                0.89269,                 1.2847,                0.67512,                0.65102,                0.65199,                0.31139,                 1.5957,                 0.8825,                 1.3494,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.4472,                0.90403,                 1.2968,                0.59766,                0.66691,                0.63251,                0.30883,                   1.57,                 0.8947,                  1.317,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.4259,                0.88022,                 1.2916,                0.56533,                0.65322,                0.62933,                0.31418,                   1.56,                0.92993,                 1.3148,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.4396,                0.86816,                 1.2864,                0.59013,                0.60239,                0.62141,                0.31859,                 1.5981,                0.87456,                 1.3549,               0.000703,               0.000703,               0.000703
                     32,                 1.4084,                0.85945,                 1.2797,                0.59765,                0.58594,                0.58459,                0.28504,                 1.6176,                0.85909,                 1.3658,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.3891,                0.84049,                 1.2696,                0.60635,                0.60929,                0.59809,                0.30243,                 1.5567,                0.89524,                 1.3135,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.4098,                0.84605,                 1.2632,                0.64354,                0.61473,                0.60602,                0.30828,                 1.5949,                0.84383,                 1.3421,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.3926,                0.83725,                 1.2573,                0.58274,                0.59591,                0.56991,                0.30127,                 1.5546,                0.90202,                 1.3139,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3804,                0.82891,                 1.2573,                 0.6886,                0.56851,                 0.6252,                0.30883,                 1.5895,                0.84791,                 1.3257,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3799,                 0.8195,                  1.259,                0.63549,                0.58121,                0.61362,                0.32993,                 1.5393,                0.83471,                 1.3082,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3584,                0.78928,                 1.2397,                0.53267,                0.59335,                0.56283,                0.27926,                 1.6426,                0.86789,                 1.3884,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3432,                 0.7899,                   1.24,                0.66077,                0.67577,                 0.6422,                0.33043,                  1.581,                0.83913,                 1.3329,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3256,                0.77235,                 1.2222,                0.62594,                0.62047,                0.59309,                 0.3013,                 1.6322,                 0.8807,                 1.3582,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3494,                0.77228,                 1.2212,                0.63016,                0.58133,                0.59587,                0.30147,                 1.6104,                0.84128,                 1.3426,               0.000604,               0.000604,               0.000604
                     42,                 1.3184,                0.75802,                  1.214,                0.58403,                0.63063,                0.58323,                0.28341,                 1.6978,                0.89285,                 1.4196,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3048,                0.73375,                 1.2045,                0.60688,                0.63908,                0.61206,                0.28709,                 1.6732,                0.84869,                 1.4117,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.2933,                0.72408,                 1.2037,                0.55418,                 0.6688,                0.61048,                 0.3051,                 1.5864,                0.82025,                  1.336,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.2933,                0.72479,                 1.1965,                0.62575,                0.59847,                0.59892,                0.30255,                  1.567,                0.84417,                 1.3218,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.2916,                0.72093,                 1.1932,                0.63615,                0.64908,                0.62864,                0.32122,                 1.5538,                0.81491,                 1.3179,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.2785,                0.71711,                 1.1926,                0.64959,                0.61968,                0.59096,                0.27554,                 1.6639,                0.85352,                 1.4074,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.2609,                0.69558,                 1.1781,                0.69019,                0.55455,                0.57961,                0.29511,                 1.6492,                0.80793,                 1.3783,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.2613,                0.70185,                 1.1807,                0.74602,                0.56407,                0.62436,                0.31124,                 1.6802,                0.83396,                 1.4075,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.2566,                0.69373,                 1.1722,                0.63393,                0.65626,                0.60893,                0.30233,                 1.6632,                0.84367,                 1.3938,              0.0005149,              0.0005149,              0.0005149
