epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2758,1.92827,2.00504,1.83188,0.47024,0.1721,0.07197,0.02702,2.60433,58.9541,2.93242,0.0702256,0.00330827,0.00330827
2,142.348,1.82002,1.59876,1.7548,0.06186,0.2646,0.03581,0.01027,2.29915,inf,4.03776,0.0401817,0.00659777,0.00659777
3,208.123,1.65963,1.364,1.63541,0.35365,0.29241,0.29485,0.11663,2.02121,1.87066,2.0551,0.0100939,0.00984327,0.00984327
4,274.035,1.51875,1.19816,1.54414,0.50529,0.31198,0.35091,0.15471,1.94711,2.01176,1.94073,0.009802,0.009802,0.009802
5,339.621,1.45064,1.09255,1.49031,0.45848,0.54237,0.44088,0.18493,1.8226,1.15827,1.9076,0.009736,0.009736,0.009736
6,406.941,1.39916,1.02138,1.46135,0.39251,0.45948,0.41474,0.17641,1.85517,1.15963,1.85131,0.00967,0.00967,0.00967
7,472.787,1.31083,0.93935,1.40378,0.81372,0.4157,0.44243,0.17228,1.96444,1.23132,1.9823,0.009604,0.009604,0.009604
8,537.917,1.284,0.90956,1.39068,0.60168,0.39329,0.42504,0.18925,1.9347,1.26292,1.96642,0.009538,0.009538,0.009538
9,602.723,1.24237,0.87256,1.35674,0.53618,0.48494,0.46449,0.20731,1.7983,1.05554,1.83321,0.009472,0.009472,0.009472
10,667.134,1.12644,0.77616,1.28719,0.61196,0.52767,0.49816,0.21144,1.84059,1.04545,1.93363,0.009406,0.009406,0.009406
11,731.561,1.10014,0.76009,1.27942,0.54282,0.4653,0.47498,0.19702,1.8765,1.04753,1.95648,0.00934,0.00934,0.00934
12,795.987,1.03481,0.71194,1.22928,0.52425,0.48022,0.48677,0.21054,1.78825,1.02676,1.8545,0.009274,0.009274,0.009274
13,859.741,1.01503,0.68212,1.21982,0.52474,0.49148,0.46948,0.22074,1.79168,1.0313,1.84588,0.009208,0.009208,0.009208
14,924.121,0.97024,0.67147,1.20031,0.5119,0.51801,0.46595,0.19581,1.86287,1.02653,1.93624,0.009142,0.009142,0.009142
15,987.932,0.98703,0.6737,1.20184,0.52038,0.48146,0.48139,0.21732,1.78525,0.98554,1.84929,0.009076,0.009076,0.009076
16,1051.7,0.99524,0.64134,1.19711,0.55145,0.51981,0.51218,0.23208,1.7749,0.91166,1.85314,0.00901,0.00901,0.00901
17,1116.24,0.94622,0.62591,1.17115,0.55955,0.49119,0.48897,0.22438,1.78484,0.98119,1.83117,0.008944,0.008944,0.008944
18,1179.94,0.90114,0.5972,1.16045,0.53025,0.63324,0.50031,0.2357,1.75615,0.93062,1.80607,0.008878,0.008878,0.008878
19,1244.59,0.91941,0.6138,1.16533,0.74371,0.51389,0.56152,0.25842,1.74642,0.90457,1.84142,0.008812,0.008812,0.008812
20,1308.64,0.91207,0.602,1.15753,0.46875,0.44398,0.46073,0.21403,1.80424,0.97639,1.86599,0.008746,0.008746,0.008746
21,1372.46,0.87047,0.57249,1.13084,0.69704,0.48392,0.53384,0.24196,1.74143,0.91476,1.77655,0.00868,0.00868,0.00868
22,1436.3,0.85394,0.57111,1.13721,0.64673,0.5031,0.51398,0.23307,1.76568,0.90529,1.81591,0.008614,0.008614,0.008614
23,1500.94,0.8367,0.55391,1.11406,0.60501,0.58383,0.54523,0.24292,1.7302,0.89505,1.79432,0.008548,0.008548,0.008548
24,1564.76,0.83314,0.55611,1.10937,0.62697,0.50107,0.5214,0.23088,1.78947,0.96903,1.851,0.008482,0.008482,0.008482
25,1628.63,0.82567,0.54196,1.1063,0.62312,0.49424,0.51608,0.23603,1.72019,0.91365,1.75983,0.008416,0.008416,0.008416
26,1692.43,0.80853,0.52986,1.09141,0.56671,0.53132,0.50246,0.24245,1.70779,0.89819,1.77527,0.00835,0.00835,0.00835
27,1756.17,0.81999,0.54378,1.11006,0.55796,0.52326,0.52195,0.24408,1.71769,0.86392,1.78173,0.008284,0.008284,0.008284
28,1819.96,0.7831,0.52463,1.0878,0.60128,0.52417,0.50227,0.23289,1.72525,0.87612,1.82549,0.008218,0.008218,0.008218
29,1883.69,0.79713,0.53165,1.08821,0.53843,0.49889,0.49412,0.24101,1.7068,0.88952,1.77278,0.008152,0.008152,0.008152
30,1947.43,0.77633,0.51181,1.08142,0.60567,0.45927,0.51282,0.24514,1.71768,0.86831,1.82792,0.008086,0.008086,0.008086
31,2011.23,0.7633,0.49489,1.07663,0.53357,0.52426,0.50574,0.23649,1.71533,0.89626,1.80843,0.00802,0.00802,0.00802
32,2074.99,0.75569,0.49435,1.06722,0.59902,0.49468,0.51605,0.25008,1.73613,0.90807,1.7817,0.007954,0.007954,0.007954
33,2139.01,0.73803,0.48988,1.06478,0.6137,0.49184,0.50705,0.24787,1.67405,0.88901,1.72382,0.007888,0.007888,0.007888
34,2202.59,0.74978,0.49561,1.06385,0.53485,0.57948,0.53423,0.25761,1.65706,0.85191,1.74984,0.007822,0.007822,0.007822
