epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.73,1.87796,1.95067,1.78187,0.68349,0.33761,0.33529,0.1527,1.75962,1.91613,1.75004,0.000472752,0.000472752,0.000472752
2,201.519,1.8693,1.56966,1.77885,0.00102,0.03294,0.00046,0.00015,4.51996,inf,15.3587,0.000930293,0.000930293,0.000930293
3,319.798,1.82007,1.52906,1.72645,0.66283,0.32318,0.3016,0.13533,1.80237,1.98654,1.79081,0.00136897,0.00136897,0.00136897
4,414.048,1.77115,1.41055,1.67128,0.64449,0.39519,0.42076,0.18868,1.81667,1.34524,1.7316,0.00134412,0.00134412,0.00134412
5,507.995,1.69927,1.3516,1.63978,0.75482,0.49646,0.52736,0.27074,1.6328,1.29476,1.61608,0.00131582,0.00131582,0.00131582
6,601.923,1.68497,1.27758,1.60491,0.5229,0.52889,0.53567,0.2394,1.76927,1.26806,1.77,0.00128753,0.00128753,0.00128753
7,696.537,1.65354,1.26924,1.59912,0.61676,0.46909,0.53426,0.26554,1.62231,1.11857,1.61588,0.00125923,0.00125923,0.00125923
8,788.317,1.64156,1.2393,1.58416,0.49715,0.501,0.51877,0.26636,1.55518,1.07646,1.58592,0.00123094,0.00123094,0.00123094
9,880.673,1.58039,1.16906,1.5391,0.55079,0.55794,0.56752,0.29931,1.53227,1.08871,1.5546,0.00120265,0.00120265,0.00120265
10,978.294,1.55177,1.13736,1.53109,0.48207,0.51908,0.53976,0.28031,1.58781,1.09143,1.57924,0.00117435,0.00117435,0.00117435
11,1077.11,1.54207,1.11384,1.51267,0.59519,0.51134,0.57311,0.2885,1.55332,0.99145,1.56853,0.00114606,0.00114606,0.00114606
12,1170.61,1.52515,1.07858,1.5136,0.52909,0.49585,0.5604,0.29507,1.51512,1.00399,1.55561,0.00111776,0.00111776,0.00111776
13,1263.06,1.50095,1.05416,1.49461,0.64755,0.56165,0.55016,0.2798,1.5825,1.02247,1.59369,0.00108947,0.00108947,0.00108947
14,1355.72,1.47664,1.01445,1.48797,0.64292,0.54497,0.5745,0.30266,1.53699,0.9606,1.56141,0.00106118,0.00106118,0.00106118
15,1454.34,1.45763,1.02013,1.45245,0.72247,0.51696,0.56808,0.28115,1.51658,0.99717,1.56052,0.00103288,0.00103288,0.00103288
16,1545.87,1.46059,0.97577,1.45024,0.57017,0.57369,0.58787,0.29073,1.57373,0.97526,1.59105,0.00100459,0.00100459,0.00100459
17,1638.71,1.42422,0.95599,1.44791,0.5517,0.56403,0.57365,0.28579,1.61863,1.04167,1.62311,0.000976293,0.000976293,0.000976293
18,1734.95,1.41865,0.91552,1.43134,0.54577,0.59785,0.57483,0.28745,1.57516,0.92505,1.58412,0.000947999,0.000947999,0.000947999
19,1869.41,1.42334,0.93394,1.43434,0.6098,0.57414,0.576,0.27149,1.64644,0.93538,1.62892,0.000919704,0.000919704,0.000919704
20,1961.16,1.37848,0.89948,1.4176,0.68756,0.5547,0.58894,0.29005,1.63922,0.94824,1.62956,0.00089141,0.00089141,0.00089141
21,2054.7,1.37025,0.87961,1.4012,0.64271,0.57435,0.59469,0.30365,1.55548,0.91929,1.57088,0.000863116,0.000863116,0.000863116
22,2179.55,1.3416,0.84782,1.38983,0.59319,0.69573,0.62062,0.30883,1.62411,0.92987,1.62432,0.000834822,0.000834822,0.000834822
23,2275.91,1.32675,0.81855,1.36834,0.61814,0.60245,0.59817,0.30684,1.60945,0.86597,1.628,0.000806528,0.000806528,0.000806528
24,2370.24,1.32049,0.8102,1.36727,0.63216,0.56974,0.57752,0.29339,1.61719,0.96161,1.62912,0.000778233,0.000778233,0.000778233
25,2467.38,1.30156,0.79504,1.36667,0.63585,0.67643,0.62298,0.30609,1.62062,0.9132,1.63335,0.000749939,0.000749939,0.000749939
26,2558.32,1.27111,0.76092,1.34041,0.68009,0.6118,0.60346,0.30131,1.61288,0.90522,1.63472,0.000721645,0.000721645,0.000721645
27,2653.42,1.25476,0.74508,1.32989,0.70847,0.6451,0.65018,0.30505,1.67751,0.89448,1.7067,0.000693351,0.000693351,0.000693351
28,2746.03,1.23772,0.73223,1.31733,0.61498,0.67126,0.59527,0.31367,1.63339,0.86125,1.65139,0.000665057,0.000665057,0.000665057
29,2840.45,1.2201,0.71127,1.30338,0.69116,0.62319,0.63278,0.30551,1.68078,0.83687,1.67755,0.000636762,0.000636762,0.000636762
30,2931.3,1.19223,0.69212,1.29534,0.66274,0.64367,0.62264,0.28646,1.7528,0.862,1.79233,0.000608468,0.000608468,0.000608468
31,3031.2,1.19041,0.6739,1.3004,0.65109,0.62511,0.60925,0.30456,1.69946,0.84768,1.72104,0.000580174,0.000580174,0.000580174
32,3123.13,1.16888,0.65632,1.26801,0.6606,0.7036,0.65547,0.31635,1.72382,0.84235,1.75033,0.00055188,0.00055188,0.00055188
33,3216.38,1.14122,0.64386,1.24704,0.64398,0.66951,0.61384,0.30159,1.72407,0.8188,1.76003,0.000523586,0.000523586,0.000523586
34,3312.6,1.12789,0.63372,1.2541,0.70322,0.63411,0.62503,0.29579,1.8038,0.85212,1.81875,0.000495291,0.000495291,0.000495291
35,3415.79,1.09838,0.61153,1.22136,0.65601,0.59225,0.61657,0.29411,1.77563,0.85859,1.8115,0.000466997,0.000466997,0.000466997
36,3509.68,1.0839,0.60009,1.22539,0.72369,0.61014,0.65602,0.31914,1.73109,0.8505,1.76647,0.000438703,0.000438703,0.000438703
37,3600.85,1.04178,0.58399,1.20482,0.75307,0.61765,0.63403,0.3076,1.75571,0.82535,1.83756,0.000410409,0.000410409,0.000410409
38,3696.74,1.05724,0.58495,1.19776,0.60987,0.60009,0.61259,0.29616,1.79206,0.83508,1.84846,0.000382115,0.000382115,0.000382115
39,3790.74,1.0359,0.56892,1.18961,0.59299,0.68797,0.60934,0.28732,1.77565,0.85777,1.821,0.00035382,0.00035382,0.00035382
40,3881.8,1.00326,0.54743,1.17379,0.62265,0.74073,0.64826,0.31776,1.74219,0.8255,1.84045,0.000325526,0.000325526,0.000325526
41,3992.61,0.98736,0.4931,1.20392,0.63674,0.67254,0.61845,0.27916,1.81149,0.88095,1.84553,0.000297232,0.000297232,0.000297232
42,4082.92,0.96074,0.47015,1.17004,0.68072,0.59196,0.6223,0.30403,1.76636,0.86656,1.82798,0.000268938,0.000268938,0.000268938
43,4178.24,0.94483,0.4622,1.16842,0.63809,0.63473,0.61953,0.29176,1.82899,0.86351,1.86571,0.000240644,0.000240644,0.000240644
44,4269.18,0.92081,0.44635,1.15112,0.66478,0.67294,0.62949,0.30463,1.77822,0.81926,1.88083,0.000212349,0.000212349,0.000212349
45,4361.63,0.88567,0.43542,1.13386,0.57684,0.65599,0.63144,0.31187,1.80104,0.81491,1.89444,0.000184055,0.000184055,0.000184055
46,4459.84,0.85832,0.41688,1.11514,0.59425,0.68106,0.6292,0.30066,1.8363,0.84347,1.94626,0.000155761,0.000155761,0.000155761
47,4560.01,0.83371,0.40656,1.10568,0.6286,0.65792,0.65092,0.31921,1.80594,0.81125,1.93422,0.000127467,0.000127467,0.000127467
48,4650.37,0.82749,0.40679,1.09599,0.63442,0.62584,0.65394,0.32104,1.8311,0.81288,1.99192,9.91726e-05,9.91726e-05,9.91726e-05
49,4741.66,0.8032,0.38973,1.07592,0.60971,0.6442,0.6304,0.3094,1.82112,0.82147,1.97088,7.08784e-05,7.08784e-05,7.08784e-05
50,4830.68,0.80207,0.39353,1.07997,0.60996,0.64211,0.63516,0.3125,1.82581,0.81869,1.99776,4.25842e-05,4.25842e-05,4.25842e-05
