epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1638,2.25477,2.62345,2.11203,0.70928,0.00414,0.00238,0.0005,2.32705,nan,2.71092,0.0702256,0.00330827,0.00330827
2,186.301,2.13095,2.07432,2.00908,0.34447,0.07522,0.00461,0.00165,nan,nan,nan,0.0400941,0.0065101,0.0065101
3,285.432,2.03361,1.9053,1.93185,0.84332,0.15114,0.15522,0.05807,nan,nan,nan,0.00983056,0.00957993,0.00957993
4,378.185,1.95909,1.7419,1.85716,0.85484,0.34299,0.39278,0.17187,1.8706,nan,1.82847,0.009406,0.009406,0.009406
5,469.59,1.89574,1.68667,1.82736,0.51802,0.13112,0.12987,0.05107,2.37048,3.62079,2.28867,0.009208,0.009208,0.009208
6,564.739,1.86954,1.61901,1.78464,0.26434,0.31634,0.17356,0.06375,nan,nan,nan,0.00901,0.00901,0.00901
7,658.479,1.84159,1.55444,1.77058,0.64025,0.44771,0.4745,0.20267,1.75353,1.5542,1.75036,0.008812,0.008812,0.008812
8,749.993,1.82309,1.54691,1.74863,0.31596,0.4168,0.36888,0.16449,1.74386,inf,1.75387,0.008614,0.008614,0.008614
9,840.815,1.77184,1.45291,1.71624,0.37461,0.43949,0.35439,0.14888,1.85988,inf,3.0422,0.008416,0.008416,0.008416
10,929.295,1.76746,1.44748,1.72484,0.4879,0.53871,0.48808,0.22036,1.75953,1.36444,1.77277,0.008218,0.008218,0.008218
11,1022.66,1.72759,1.38415,1.6845,0.85793,0.49538,0.5952,0.2627,1.70559,1.17337,1.71456,0.00802,0.00802,0.00802
12,1112.64,1.70816,1.35083,1.68288,0.49234,0.43937,0.45704,0.2053,1.79598,1.36008,1.77531,0.007822,0.007822,0.007822
