epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2814,1.97813,2.6877,1.76656,0.17751,0.29797,0.13213,0.0493,1.94251,15.3242,1.94107,0.00045728,0.00045728,0.00045728
2,37.8362,1.82084,1.79686,1.61607,0.60739,0.24475,0.17135,0.06057,2.19004,2.63295,2.05374,0.000910459,0.000910459,0.000910459
3,55.6522,1.85672,1.64848,1.64582,0.35667,0.17297,0.02155,0.00869,2.28162,11.1086,2.11824,0.00134496,0.00134496,0.00134496
4,72.6171,1.82179,1.52355,1.60546,0.57188,0.29818,0.22825,0.10551,2.04199,2.44952,1.92363,0.00134412,0.00134412,0.00134412
5,89.7223,1.74572,1.37663,1.54732,0.77363,0.16792,0.11975,0.04983,2.0493,3.7236,1.90804,0.00131582,0.00131582,0.00131582
6,106.339,1.7273,1.38046,1.55241,0.15178,0.3666,0.1147,0.04658,1.91584,4.90991,1.84522,0.00128753,0.00128753,0.00128753
7,122.944,1.70637,1.28312,1.5346,0.7289,0.35449,0.42604,0.18125,1.87583,1.65711,1.79396,0.00125923,0.00125923,0.00125923
8,139.889,1.72305,1.21804,1.50619,0.71489,0.42122,0.42214,0.16862,2.06004,1.62656,1.86983,0.00123094,0.00123094,0.00123094
9,156.575,1.66491,1.17762,1.4942,0.79879,0.37369,0.41868,0.16154,1.99558,1.50244,1.80583,0.00120265,0.00120265,0.00120265
10,173.01,1.61681,1.14828,1.4641,0.69507,0.52311,0.4577,0.21367,1.7591,1.51082,1.64302,0.00117435,0.00117435,0.00117435
11,190.35,1.60192,1.12924,1.47693,0.81674,0.51574,0.52563,0.22097,2.01908,1.24636,1.88217,0.00114606,0.00114606,0.00114606
12,207.393,1.58053,1.07277,1.45088,0.78391,0.48354,0.49206,0.20295,2.01146,1.23267,1.88913,0.00111776,0.00111776,0.00111776
13,223.932,1.53512,1.01765,1.42843,0.54189,0.65021,0.54994,0.2322,1.99484,1.3114,1.80244,0.00108947,0.00108947,0.00108947
14,241.319,1.53841,0.97771,1.39195,0.39084,0.44328,0.47168,0.19291,2.04262,1.45687,1.8349,0.00106118,0.00106118,0.00106118
15,257.679,1.4788,0.97191,1.39962,0.40071,0.72024,0.59327,0.271,1.9316,1.21546,1.7878,0.00103288,0.00103288,0.00103288
16,274.728,1.50367,0.9509,1.37918,0.43583,0.70168,0.57909,0.26125,2.02182,1.00465,1.90799,0.00100459,0.00100459,0.00100459
17,291.145,1.47801,0.93157,1.39335,0.82465,0.48725,0.49987,0.21898,1.93951,1.1392,1.8212,0.000976293,0.000976293,0.000976293
18,307.767,1.47398,0.88481,1.38199,0.45676,0.76821,0.60165,0.25307,2.00143,1.01578,1.92886,0.000947999,0.000947999,0.000947999
19,324.28,1.44825,0.88146,1.34988,0.49508,0.43487,0.49435,0.20504,1.96536,1.21008,1.87709,0.000919704,0.000919704,0.000919704
20,340.821,1.40001,0.86373,1.33586,0.532,0.65176,0.58656,0.24431,1.95157,1.16969,1.88421,0.00089141,0.00089141,0.00089141
21,357.427,1.40113,0.84345,1.3176,0.81001,0.46008,0.55966,0.25448,1.93756,1.11095,1.8108,0.000863116,0.000863116,0.000863116
22,373.967,1.36188,0.82598,1.31847,0.82551,0.42127,0.4799,0.1872,2.09324,1.24425,2.0115,0.000834822,0.000834822,0.000834822
23,390.443,1.31481,0.76894,1.29888,0.36841,0.55112,0.63824,0.30106,2.09715,1.09584,2.05418,0.000806528,0.000806528,0.000806528
24,407.241,1.28483,0.75473,1.26208,0.81117,0.50945,0.54682,0.2285,2.0748,1.05164,2.0287,0.000778233,0.000778233,0.000778233
25,423.689,1.30417,0.74295,1.26645,0.54815,0.67437,0.59568,0.27337,2.03071,1.01446,1.92797,0.000749939,0.000749939,0.000749939
26,440.079,1.22853,0.69843,1.2332,0.64738,0.8015,0.76836,0.41142,1.9458,1.00517,1.89915,0.000721645,0.000721645,0.000721645
27,457.045,1.19216,0.69399,1.25611,0.47515,0.72024,0.56222,0.24018,2.08757,1.06643,2.05429,0.000693351,0.000693351,0.000693351
28,473.538,1.16488,0.67064,1.21893,0.44457,0.61106,0.54306,0.23467,2.03903,1.10426,2.06159,0.000665057,0.000665057,0.000665057
29,490.044,1.18624,0.64836,1.20784,0.86555,0.48529,0.5198,0.21359,2.02576,1.12666,2.03829,0.000636762,0.000636762,0.000636762
30,506.489,1.16462,0.66371,1.2181,0.82347,0.46919,0.47063,0.20148,2.07752,1.08431,2.0385,0.000608468,0.000608468,0.000608468
31,522.859,1.13276,0.61354,1.17644,0.83413,0.44993,0.48483,0.21253,2.04319,1.10665,2.0571,0.000580174,0.000580174,0.000580174
32,539.34,1.13279,0.61504,1.16425,0.77812,0.67724,0.681,0.36023,1.95779,0.97244,1.93859,0.00055188,0.00055188,0.00055188
33,555.808,1.09442,0.59812,1.16731,0.82894,0.47452,0.50572,0.23137,1.94579,1.00338,1.96565,0.000523586,0.000523586,0.000523586
34,572.367,1.0427,0.59069,1.13335,0.81625,0.47899,0.47946,0.21049,1.93727,1.03041,1.95901,0.000495291,0.000495291,0.000495291
35,588.778,1.0273,0.57263,1.13525,0.54579,0.70079,0.57728,0.25784,1.97546,0.95405,2.08254,0.000466997,0.000466997,0.000466997
36,605.404,1.03523,0.5678,1.11352,0.7883,0.47328,0.48608,0.23169,1.96402,0.99,2.02502,0.000438703,0.000438703,0.000438703
